Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Duplicate),Outward issue link (Reference),Outward issue link (Regression),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Access to underlying native logging provider missing,LOGGING-88,12340394,Improvement,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Duplicate,,ch@ipin.com,ch@ipin.com,01/Nov/02 13:30,02/Jan/08 07:48,07/Apr/19 20:35,02/Jan/08 07:48,1.0,,,,,,,,,,,0,,,"Currently only class org.apache.commons.logging.impl.Jdk14Logger provides access
to the underlying logging provider through the method 


org.apache.commons.logging.Log doe","Operating System: other
Platform: Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,14154.0,,,,,,false,,,,,,,,,,,,,,,148266,,,Fri Nov 01 13:36:07 UTC 2002,,,,,,0|i0spfj:,165597,,,,,,,,"01/Nov/02 13:36;ch@ipin.com;sorry, is fully described in 14155 (it's late at night).

*** This bug has been marked as a duplicate of 14155 ***",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[logging] Add MemoryLog,LOGGING-87,12341334,Improvement,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Fixed,,joehni,,15/Mar/04 21:48,29/Dec/09 14:12,07/Apr/19 20:35,29/Dec/09 14:12,1.0.4,,,,,,,,,1.1.0,,0,,,"Statistics show, that logging code take normally nearly 4% of the 
application's code. To increase coverage and exclude side-effects from the 
logging code it is useful to have unit tests running the compete logging code, 
too. The MemoryLog class is especially designed for this purpose, since every 
log entry can be retrieved later on as big list with each entry represented by 
a bean. This makes it e.g. easy to test for thrown and logged exceptions.

Code for MemoryLog and MemoryLogTest attached, code borrows from SimpleLog.","Operating System: All
Platform: All",,,,,,,,,,,,,,,,,,,,,15/Mar/04 21:49;ASF.LICENSE.NOT.GRANTED--MemoryLog.java;https://issues.apache.org/jira/secure/attachment/12332804/ASF.LICENSE.NOT.GRANTED--MemoryLog.java,15/Mar/04 21:50;ASF.LICENSE.NOT.GRANTED--MemoryLogTest.java;https://issues.apache.org/jira/secure/attachment/12332805/ASF.LICENSE.NOT.GRANTED--MemoryLogTest.java,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,27663.0,,,2004-03-15 21:49:57.0,,,false,,,,,,,,,,,,,,,148265,,,Fri Nov 05 07:05:18 UTC 2004,,,,,,0|i0spfr:,165598,,,,,,,,"15/Mar/04 21:49;joerg.schaible@gmx.de;Created an attachment (id=10785)
src/java/org/apache/commons/logging/impl/MemoryLog.java
","15/Mar/04 21:50;joerg.schaible@gmx.de;Created an attachment (id=10786)
src/test/org/apache/commons/logging/MemoryLog.java
","05/Nov/04 07:05;rdonkin@apache.org;Committed. Many thanks.

This has been added to the new optional jar containing non-core jars.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[logging] SimpleLog log method should defer writing for better reuse!,LOGGING-86,12341284,Improvement,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Fixed,,arh14@cornell.edu,arh14@cornell.edu,22/Feb/04 03:25,29/Dec/09 14:11,07/Apr/19 20:35,29/Dec/09 14:11,1.0.3,,,,,,,,,1.0.4,,0,,,"SimpleLog 'log' method which performs the actual log write to System.err should 
be refactored to instead call a 'doWrite' method which commits the log message 
to the stream.  This would allow subclasses to reuse the bulk of the SimpleLog 
logic but direct the output elsewhere (in my case, for instance, a GUI log 
window).  This change is too trivial to mandate a full patch, here is a pseudo 
patch:

/**
 * <p> Do the actual logging.
 * This method assembles the message
 * and then prints to <code>System.err</code>.</p>
 */
 protected void log(int type, Object message, Throwable t) {
   ...
   // print to System.err
-  System.err.println(buf.toString());
+  doWrite(buf);
 }

+ /** Subclasses can easily override this */
+ protected void doWrite(StringBuffer buf) {
+   System.err.println(buf);
+ }

Without this patch, the only current solution is reuse by cutting-and-pasting 
the entire 'log' method and changing the single System.err line :(","Operating System: other
Platform: Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,27135.0,,,2004-02-28 05:24:08.0,,,false,,,,,,,,,,,,,,,148264,,,Mon Mar 01 10:13:28 UTC 2004,,,,,,0|i0spfz:,165599,,,,,,,,"28/Feb/04 05:24;dennisl@apache.org;The only downside I can see in doing this is that it requires one more
method-call. How critical is performance in this implementation?","28/Feb/04 05:40;arh14@cornell.edu;I also noticed that all the logging methods are made final (as well as the
accessors for debug level), which obviates subclasses, so I had to copy and
paste my own copy of this class and remove the 'final' keywords from those methods.

It may be that it is important to performance to keep these things final and to
not do an extra call, but I wanted to at least point it out.","29/Feb/04 01:38;dennisl@apache.org;Having thought some more about this I like the idea. I'm planning to write a
Logger that can be used in an applet that sends all log entries to a servlet.
That could easily be done by extending SimpleLog, with the enhancement proposed
here.

I can write a patch for it, but I'm currently 2 patches ahead of what's in cvs.
The attribute prefix (renamed to shortLogName in my patch for COM-1039) should
also be made protected.

Do you really need to override the logging methods (and accessors for debug level)?","29/Feb/04 01:50;arh14@cornell.edu;Yes, I need to override the logging methods because I am writing a ""facade"" log
for my application which captures all logging to a graphical window.  As far as
I know the easiest, most portable, way of doing this while still retaining all
the implementation-neutrality of jakarta commons logging is to wrap each Log
with my own application log which captures these messages.  My usage is
something like:

class SomeClass {
  private static final Log log = new MyAppLog(LogFactory.getLog(""SomeClass""));
}

class MyAppLog extends SimpleLog {
...
  public void doWrite(StringBuffer buf) {
    // write to my log window
  }
  public void info(String message) {
    super.info(message);
    chainedlog.info(message);
  }
...
}


MyAppLog will then capture all output (nicely formatted since it is a SimpleLog
subclass), but also pass it on to the destination log implementation, be it
Log4j, or jdk 1.4 logging, etc.  (technical note, I could equivalently create my
own custom facade log factory implementation but I think that is a bit of
overkill just to cache MyAppLog instances which will most likely no two will be
instantiated with the same name).

If you have any better idea that using such a facade I'm all ears.  The only
other alternative I see is to write appender implementations in every possible
back-end, to write to my application window...I don't think that is feasible or
desirable.","29/Feb/04 02:12;dennisl@apache.org;How about this:

class MyAppLog extends SimpleLog {
...
  public void doWrite(StringBuffer buf) {
    super.doWrite(buf);
    // write to my log window
  }
...
}


","29/Feb/04 02:14;rdonkin@apache.org;i'm tempted to mark this as WONT FIX for the following reason:

SimpleLog should have been marked final. (Too late to fix it now.) IMO the right way to reuse SimpleLog 
would be through delegation. So, I'd suggest implementing your facade by delegating to a SimpleLog 
instance rather than inheriting from SimpleLog.

But I'm willing to be persuaded otherwise (so I'm leaving this open for now).
","29/Feb/04 08:37;simon@ecnetwork.co.nz;I'm in favour of Aaron's proposal to add a doWrite(StringBuffer s) method.

This extra virtual method call occurs only after it is determined that the
message *will* be output. Performance is critical when determining *if* a
message will be logged, but given that we have now committed to doing IO (which
is always slow), I don't see an extra virtual method call being significant at
that point.

Robert, I think the Log interface is sufficiently complex to make
reuse-by-delegation a pain; inheritance seems cleaner to me in this case. And it
seems a quite common use-case too; using all the standard SimpleLog
functionality but directing the output to some custom destination.

I also think the doWrite method should take StringBuffer, not String, as a
parameter, just in case the doWrite method wants to tweak the output string some
more. Yes this commits the log() method to using StringBuffers forever more, but
I can't see why it would ever want to use anything else. Still, this could be
debated...","01/Mar/04 00:20;arh14@cornell.edu;Hi guys.  In answer to Robert, my original implementation was through
delegation, and this only worked because I previously arranged to override the
System.err stream with a custom stream, and then grab the byte[] chunks emitted
by SimpleLog in my custom stream implementation, and then write that to my
window.  I thought this was more convoluted and less efficient than just being
able to snag the output dierctly at its source (and it also had the side-effect
of consuming System.err output produced by code other than SimpleLog).

I can always reuse through copy/paste, so make the decision you feel is best for
the package.  I just wanted to note what I ran into.","01/Mar/04 10:13;craig.mcclanahan@sun.com;Fixed in nightly build 20040301 (and upcoming 1.0.4 release).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[logging] Create Log factory method getLog(),LOGGING-85,12340822,Improvement,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Won't Fix,,william.balloni@med.ge.com,william.balloni@med.ge.com,26/Jun/03 21:38,02/Jan/08 07:48,07/Apr/19 20:35,02/Jan/08 07:48,1.0.3,,,,,,,,,,,0,,,"This is an enhancement request to create a Log factory method that will allow 
getting a Log instance without the need to use the LogFactory (directly). This 
would simplify using the package as only the Log class would need to be 
imported and referenced in the typical case. This will also align the Commons 
logging API more closely with the 2 primary logging APIs it wraps, Log4J and 
JDK, without sacrificing the decoupling of the Commons logging API and concrete 
logging implementations.

The implications of this are, 1) Log will need to be changed to a class, likely 
abstract, 2) Log will use the LogFactory to get the Log object.","Operating System: All
Platform: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,21114.0,,,2004-03-07 05:08:30.0,,,false,,,,,,,,,,,,,,,148263,,,Sun Mar 07 05:08:30 UTC 2004,,,,,,0|i0spg7:,165600,,,,,,,,"07/Mar/04 05:08;craig.mcclanahan@sun.com;This change would dramatically break backwards compatibility, for (IMHO) too
little gain.  Going from:

  Log log = LogFactory.getLog(""foo"");

to

  Log log = Log.getLog(""foo"");

and removing an import clause is not worth breaking every implementation of Log
in the world.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[logging] Need Log.close method,LOGGING-84,12342060,Improvement,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Won't Fix,,apache.org@ishepherd.co.uk,apache.org@ishepherd.co.uk,14/Feb/05 22:56,02/Jan/08 07:48,07/Apr/19 20:35,02/Jan/08 07:48,1.0.4,,,,,,,,,,,0,,,"I can't see a way to tell Commons Logging to close a log. There is 
LogFactory.release(), but it is specified only as releasing references.

This is causing me a problem when using Logging with log4j's TelnetAppender. 
Because I can't shut down the logging, the appender never closes down its 
sockets; this prevents my application from exiting properly.","Operating System: Windows 2000
Platform: PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,33561.0,,,2005-02-15 02:52:03.0,,,false,,,,,,,,,,,,,,,148262,,,Tue Feb 15 18:14:26 UTC 2005,,,,,,0|i0spgf:,165601,,,,,,,,"15/Feb/05 02:52;rdonkin@apache.org;This is an issue best solved by deployment code rather than application code. It
is very easy to come up with scenarios where JCL closing a log would have
detrimental effects.

The deployer of the application has made the choice to deploy a configuration of
a particular logging system which needs to be closed in a particular fashion.
The deployer should therefore add the appropriate lifecycle code to shutdown the
appropriate Log4J repository to the deployment.
","15/Feb/05 17:49;skitching;I've added an entry to the logging FAQ on this:
  http://wiki.apache.org/jakarta-commons/Logging/FrequentlyAskedQuestions",15/Feb/05 18:14;apache.org@ishepherd.co.uk;Thanks to both of you - I'll try the ideas in the FAQ entry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[logging] Enhance error message for "" org.apache.commons.logging.impl.Log4JLogger does not implement Log""",LOGGING-83,12341135,Improvement,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Fixed,,ralfhauser,ralfhauser,03/Dec/03 16:56,29/Dec/09 14:10,07/Apr/19 20:35,29/Dec/09 14:10,1.0.3,,,,,,,,,1.0.4,,0,,,"After moving from struts1.0 to struts1.1 I got the same error message as in the
above mailing list discussion thread.

Couldn't the error message contain the names of the two jar files?
Even better if it hinted on what to do or provided a link to an explanation page!

http://jakarta.apache.org/commons/logging/userguide.html#Configuring%20the%20Logger%20Implementation
didn't really provide any help?

So shall I remove the 
-rwxr-xr-x    1 root     root       218864 Dec  2 15:37 WEB-INF/lib/log4j.jar
or the 
-rw-r--r--    1 root     root        31605 Dec  2 16:05
WEB-INF/lib/commons-logging.jar

Since all went well with log4j so far and the file is bigger, I am inclined to
dump commons-logging.jar.
On the other hand, since I am a new user of commons-dbcp-1.1.jar, that one may
rely on its own logger - so perhaps I will run into trouble due to that?
Anyway, help would be highly appreciated!","Operating System: All
Platform: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,25156.0,,,2004-03-07 05:55:54.0,,,false,,,,,,,,,,,,,,,148261,,,Sun Mar 07 05:55:54 UTC 2004,,,,,,0|i0spgn:,165602,,,,,,,,"03/Dec/03 18:40;ralfhauser;removed commons-logging.jar, left tomcat1.27/commons/lib/commons-logging-api.jar

and now it works again - no clue whether this is a recommendable setup or not???","07/Mar/04 05:55;craig.mcclanahan@sun.com;I've improved the error message in the (fairly common) case where the user has
org.apache.commons.logging.Log available more than once in the class loading
hierarchy.

For the expected configuration when using commons logging inside Tomcat, you
should consult the Tomcat documentation, but I've had no problems with the
standard way that Tomcat packages things (commons-logging-api.jar in common/lib,
no logging libraries in my webapp, put log4j.jar in commons/lib if I want to use
it).

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[logging][PATCH]Additions to classloading discussion in the tech guide,LOGGING-82,12342179,Improvement,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Fixed,,b_stansberry@hotmail.com,b_stansberry@hotmail.com,12/Apr/05 15:09,29/Dec/09 14:23,07/Apr/19 20:35,29/Dec/09 14:23,1.0.4,,,,,,,,,1.1.0,,0,,,"Attached is the patch to the JCL tech guide I promised on the dev list a couple
weeks back.

Cheers,
Brian","Operating System: All
Platform: Other",,,,,,,,,,,,,,,,,,,,,12/Apr/05 15:11;b_stansberry@hotmail.com;ASF.LICENSE.NOT.GRANTED--JCL-tech.diff;https://issues.apache.org/jira/secure/attachment/12333455/ASF.LICENSE.NOT.GRANTED--JCL-tech.diff,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,34412.0,,,2005-04-18 04:32:46.0,,,false,,,,,,,,,,,,,,,148260,,,Mon Apr 18 04:32:46 UTC 2005,,,,,,0|i0spgv:,165603,,,,,,,,"12/Apr/05 15:11;b_stansberry@hotmail.com;Created an attachment (id=14687)
patch to xdocs/tech.xml
","18/Apr/05 04:32;rdonkin@apache.org;Good work. Committed. Many thanks.

Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimpleFileLog class,LOGGING-81,12340559,Improvement,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Won't Fix,,vladimir@bossicard.com,vladimir@bossicard.com,18/Feb/03 19:36,02/Jan/08 07:48,07/Apr/19 20:35,02/Jan/08 07:48,1.0.3,,,,,,,,,,,0,,,"it would be very useful to have a SimpleLog class that writes into a file (no
pipes).  Or at least to refactor SimpleLog to extract a BaseLog class with some
basic functionalities (like generating the message).","Operating System: other
Platform: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,17157.0,,,2003-02-25 02:06:05.0,,,false,,,,,,,,,,,,,,,148259,,,Tue Aug 19 09:13:58 UTC 2003,,,,,,0|i0sph3:,165604,,,,,,,,"25/Feb/03 02:06;garyashley@3mv.biz;The SimpleLog class writes to System.err which can point to a file.  Use the 
System.setErr(PrintStream) method to modify this behavior.
See the javadoc:  
http://java.sun.com/j2se/1.3/docs/api/java/lang/System.html#err
a good tutorial: http://www.javacoffeebreak.com/java103/java103.html#output

Also, the Log4J Logger has both a FileAppender and RollingFileAppender.  

IMHO, This seems beyond the scope of the Commons Logging API.  I would look to 
Avalon, JDK1.4, or Log4J to supply this functionality.","22/Mar/03 02:42;vladimir@bossicard.com;I've written this FileLog class for my JUnit-addons package.  And you were
right, it was a little bit behond the scope of Commons-Logging.

While writing my class, I refactored the SimpleLog class and split the
functionality into two classes: AbstractLog and SimpleLog.  You can have a look
at :

<http://cvs.sourceforge.net/cgi-bin/viewcvs.cgi/junit-addons/sandbox/incubator/main/junitx/tool/logging/>

Sorry for not sending a patch.  Feel free to include this code into the
Commons-logging package.","04/Apr/03 23:24;amamment;Think this was moved to Validator by accident as it has nothing to do with 
validation....",07/Apr/03 03:37;rdonkin@apache.org;This will have to be left until after the 1.0.3 release,07/Apr/03 03:54;vladimir@bossicard.com;What can I do to have this included into 1.0.3?,"07/Apr/03 04:45;rdonkin@apache.org;it was just too late in the process to be included. the release VOTE had already
been been completed on the basis of CVS HEAD. the code to be released is now
tagged and so the release will be shipped without this patch.

if the community considers the patch important enough to warrant it, a swift
1.0.4 release could be made including this patch. 

- robert",07/Apr/03 08:19;vladimir@bossicard.com;Fine.  I'll wait for 1.04,07/Apr/03 16:37;rdonkin@apache.org;commons-logging 1.0.3 released,"19/Aug/03 07:55;yoavs@computer.org;-1 On this addition.  Commons-logging should really stay away from 
implementations are much as possible -- log4j, avalon, jdk1.4 all have this 
feature.","19/Aug/03 09:13;craig.mcclanahan@sun.com;I'm also -1.  commons-logging is not and should not be in the business of
providing robust logging *implementations* -- it is designed to be a wrapper
around existing logging technologies.  Had I to do it over again, I probably
would have argued against including even SimpleLog in the basic package.

Besides, all you have to do is redirect where System.err writes to and you've
accomplished what this bug report wants.  You can look at what recent versions
of Tomcat do in this regard.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
[logging][PATCH] Javadoc for jul.Log interface,LOGGING-80,12342940,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Fixed,,boris.unckel.mlg@gmx.net,boris.unckel.mlg@gmx.net,25/Feb/06 20:48,18/Nov/06 12:52,07/Apr/19 20:35,18/Nov/06 12:52,1.0.4,,,,,,,,,1.1.0,,0,,,Added missing return types.,"Operating System: All
Platform: All",,,,,,,,,,,,,,,,,,,,,25/Feb/06 20:50;boris.unckel.mlg@gmx.net;ASF.LICENSE.NOT.GRANTED--Log_javadoc.patch;https://issues.apache.org/jira/secure/attachment/12334045/ASF.LICENSE.NOT.GRANTED--Log_javadoc.patch,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,38783.0,,,2006-03-01 08:57:27.0,,,false,,,,,,,,,,,,,,,148258,,,Wed Mar 01 08:57:27 UTC 2006,,,,,,0|i0d7kv:,75004,,,,,,,,"25/Feb/06 20:50;boris.unckel.mlg@gmx.net;Created an attachment (id=17797)
Javadoc - missing return types
",01/Mar/06 08:57;skitching;Patch committed. Thanks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[logging] Online JCL 1.0.4 API Javadoc missing,LOGGING-79,12342697,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Minor,Fixed,,barry@alltc.com,barry@alltc.com,09/Nov/05 14:00,29/Dec/09 14:22,07/Apr/19 20:35,29/Dec/09 14:22,1.0.4,,,,,,,,,1.0.4,,0,,,"I searched to see if someone has posted about this, so sorry if it has
already been reported.  The root for the API Javadoc of Commons Logging
1.0.4 is empty:

http://jakarta.apache.org/commons/logging/api/","Operating System: other
Platform: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,37420.0,,,2005-11-10 06:25:54.0,,,false,,,,,,,,,,,,,,,148257,,,Wed Jan 18 13:03:28 UTC 2006,,,,,,0|i0d7l3:,75005,,,,,,,,"10/Nov/05 06:25;dennisl@apache.org;Here's a more detailed description.

Start from the commons-logging home page
 http://jakarta.apache.org/commons/logging/

Navigate through the menus
/Commons Logging
    ...
    /1.0.4 Release
        /Documentation 

This page
 http://jakarta.apache.org/commons/logging/commons-logging-1.0.4/docs/
has a broken link.
The link text is ""JavaDoc API documents"" and the URL is
 http://jakarta.apache.org/commons/logging/api/index.html

The correct URL for this should be
 http://jakarta.apache.org/commons/logging/commons-logging-1.0.4/docs/apidocs/","18/Jan/06 13:03;skitching;The docs are there now, so closing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[logging] The Log4JCategoryLog class does not get Serialized in WLS 8.1. Given below is the stackTrace,LOGGING-78,12341251,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Fixed,,prashanth_kumar@dstinnovis.com,prashanth_kumar@dstinnovis.com,10/Feb/04 03:36,29/Dec/09 14:21,07/Apr/19 20:35,29/Dec/09 14:21,,,,,,,,,,1.0.4,,0,,,"ava.io.NotSerializableException: org.apache.commons.logging.impl.Log4JCategoryL
og
        at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1054)
        at java.io.ObjectOutputStream.defaultWriteFields(ObjectOutputStream.java
:1330)
        at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:13
02)
        at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.jav
a:1245)
        at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1052)
        at java.io.ObjectOutputStream.defaultWriteFields(ObjectOutputStream.java
:1330)
        at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:13
02)
        at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.jav
a:1245)
        at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1052)
        at java.io.ObjectOutputStream.writeObject(ObjectOutputStream.java:278)
        at java.util.ArrayList.writeObject(ArrayList.java:530)
        at sun.reflect.GeneratedMethodAccessor278.invoke(Unknown Source)
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAcces
sorImpl.java:25)
        at java.lang.reflect.Method.invoke(Method.java:324)
        at java.io.ObjectStreamClass.invokeWriteObject(ObjectStreamClass.java:79
5)
        at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:12
94)
        at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.jav
a:1245)
        at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1052)
        at java.io.ObjectOutputStream.defaultWriteFields(ObjectOutputStream.java
:1330)
        at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:13
02)
        at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.jav
a:1245)
        at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1052)
        at java.io.ObjectOutputStream.defaultWriteFields(ObjectOutputStream.java
:1330)
        at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:13
02)
        at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.jav
a:1245)
        at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1052)
        at java.io.ObjectOutputStream.defaultWriteFields(ObjectOutputStream.java
:1330)
        at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:13
02)
        at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.jav
a:1245)
        at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1052)
        at java.io.ObjectOutputStream.writeObject(ObjectOutputStream.java:278)
        at weblogic.rmi.internal.CBVOutputStream.writeObject(CBVOutputStream.jav
a:78)
        at weblogic.rmi.internal.ServerRequest.unmarshalThrowable(ServerRequest.
java:327)
        at weblogic.rmi.internal.ServerRequest.getThrowable(ServerRequest.java:5
9)
        at weblogic.rmi.internal.ServerRequest.sendReceive(ServerRequest.java:18
4)
        at weblogic.rmi.cluster.ReplicaAwareRemoteRef.invoke(ReplicaAwareRemoteR
ef.java:284)
        at weblogic.rmi.cluster.ReplicaAwareRemoteRef.invoke(ReplicaAwareRemoteR
ef.java:244)","Operating System: Solaris
Platform: Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,26802.0,,,2004-02-28 05:29:45.0,,,false,,,,,,,,,,,,,,,148256,,,Sat Feb 28 05:29:45 UTC 2004,,,,,,0|i0d7lb:,75006,,,,,,,,"28/Feb/04 05:29;dennisl@apache.org;This is fixed in cvs for org.apache.commons.logging.impl.Log4JLogger.
You should use Log4JLogger instead of Log4JCategoryLog, because the latter has
been deprecated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The syntax error exists in the sample code of package-summary.html,LOGGING-77,12341133,Bug,Closed,LOGGING,Commons Logging,software,issues@commons.apache.org,,http://commons.apache.org/logging/,Major,Duplicate,,onorat@javapro.jp,onorat@javapro.jp,02/Dec/03 19:52,02/Jan/08 07:48,07/Apr/19 20:35,02/Jan/08 07:48,1.0.3,,,,,,,,,,,0,,,"The syntax error exists in the sample code of package-summary.html.
http://jakarta.apache.org/commons/logging/apidocs/org/apache/commons/logging/pac
kage-summary.html
A problem is in the contents of a Quick Start Guide section. 

    Log log = LogFactory.getLog(this.class);

""this.class"" shold be ""this.getClass()"", ""Foo.class"" or something else.","Operating System: other
Platform: Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,25135.0,,,2004-01-07 10:19:56.0,,,false,,,,,,,,,,,,,,,148255,,,Wed Jan 07 10:19:56 UTC 2004,,,,,,0|i0d7lj:,75007,,,,,,,,"07/Jan/04 10:19;dennisl@apache.org;

*** This bug has been marked as a duplicate of 18889 ***",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
